AUD/USD;
Date;Clôture
23/11/2016; $0,74 
24/11/2016; $0,74 
25/11/2016; $0,74 
28/11/2016; $0,75 
29/11/2016; $0,75 
30/11/2016; $0,74 
01/12/2016; $0,74 
02/12/2016; $0,75 
05/12/2016; $0,75 
06/12/2016; $0,75 
07/12/2016; $0,75 
08/12/2016; $0,75 
09/12/2016; $0,75 
12/12/2016; $0,75 
13/12/2016; $0,75 
14/12/2016; $0,74 
15/12/2016; $0,74 
16/12/2016; $0,73 
19/12/2016; $0,72 
20/12/2016; $0,73 
21/12/2016; $0,72 
22/12/2016; $0,72 
23/12/2016; $0,72 
26/12/2016; $0,72 
27/12/2016; $0,72 
28/12/2016; $0,72 
29/12/2016; $0,72 
30/12/2016; $0,72 
02/01/2017; $0,72 
03/01/2017; $0,72 
04/01/2017; $0,73 
05/01/2017; $0,73 
06/01/2017; $0,73 
09/01/2017; $0,74 
10/01/2017; $0,74 
11/01/2017; $0,74 
12/01/2017; $0,75 
13/01/2017; $0,75 
16/01/2017; $0,75 
17/01/2017; $0,76 
18/01/2017; $0,75 
19/01/2017; $0,76 
20/01/2017; $0,76 
23/01/2017; $0,76 
24/01/2017; $0,76 
25/01/2017; $0,76 
26/01/2017; $0,75 
27/01/2017; $0,75 
30/01/2017; $0,76 
31/01/2017; $0,76 
01/02/2017; $0,76 
02/02/2017; $0,77 
03/02/2017; $0,77 
06/02/2017; $0,77 
07/02/2017; $0,76 
08/02/2017; $0,76 
09/02/2017; $0,76 
10/02/2017; $0,77 
13/02/2017; $0,76 
14/02/2017; $0,77 
15/02/2017; $0,77 
16/02/2017; $0,77 
17/02/2017; $0,77 
20/02/2017; $0,77 
21/02/2017; $0,77 
22/02/2017; $0,77 
23/02/2017; $0,77 
24/02/2017; $0,77 
27/02/2017; $0,77 
28/02/2017; $0,77 
01/03/2017; $0,77 
02/03/2017; $0,76 
03/03/2017; $0,76 
06/03/2017; $0,76 
07/03/2017; $0,76 
08/03/2017; $0,75 
09/03/2017; $0,75 
10/03/2017; $0,75 
13/03/2017; $0,76 
14/03/2017; $0,76 
15/03/2017; $0,77 
16/03/2017; $0,77 
17/03/2017; $0,77 
20/03/2017; $0,77 
21/03/2017; $0,77 
22/03/2017; $0,77 
23/03/2017; $0,76 
24/03/2017; $0,76 
27/03/2017; $0,76 
28/03/2017; $0,76 
29/03/2017; $0,77 
30/03/2017; $0,76 
31/03/2017; $0,76 
03/04/2017; $0,76 
04/04/2017; $0,76 
05/04/2017; $0,76 
06/04/2017; $0,75 
07/04/2017; $0,75 
10/04/2017; $0,75 
11/04/2017; $0,75 
12/04/2017; $0,75 
13/04/2017; $0,76 
14/04/2017; $0,76 
17/04/2017; $0,76 
18/04/2017; $0,76 
19/04/2017; $0,75 
20/04/2017; $0,75 
21/04/2017; $0,75 
24/04/2017; $0,76 
25/04/2017; $0,75 
26/04/2017; $0,75 
27/04/2017; $0,75 
28/04/2017; $0,75 
01/05/2017; $0,75 
02/05/2017; $0,75 
03/05/2017; $0,74 
04/05/2017; $0,74 
05/05/2017; $0,74 
08/05/2017; $0,74 
09/05/2017; $0,73 
10/05/2017; $0,74 
11/05/2017; $0,74 
12/05/2017; $0,74 
15/05/2017; $0,74 
16/05/2017; $0,74 
17/05/2017; $0,74 
18/05/2017; $0,74 
19/05/2017; $0,75 
22/05/2017; $0,75 
23/05/2017; $0,75 
24/05/2017; $0,75 
25/05/2017; $0,75 
26/05/2017; $0,74 
29/05/2017; $0,74 
30/05/2017; $0,75 
31/05/2017; $0,74 
01/06/2017; $0,74 
