EUR/GBP;
Date;Clôture
22/09/2015; £0,72 
23/09/2015; £0,73 
24/09/2015; £0,74 
25/09/2015; £0,74 
28/09/2015; £0,74 
29/09/2015; £0,74 
30/09/2015; £0,74 
01/10/2015; £0,74 
02/10/2015; £0,74 
05/10/2015; £0,74 
06/10/2015; £0,74 
07/10/2015; £0,73 
08/10/2015; £0,73 
09/10/2015; £0,74 
12/10/2015; £0,74 
13/10/2015; £0,75 
14/10/2015; £0,74 
15/10/2015; £0,74 
16/10/2015; £0,74 
19/10/2015; £0,73 
20/10/2015; £0,73 
21/10/2015; £0,74 
22/10/2015; £0,72 
23/10/2015; £0,72 
26/10/2015; £0,72 
27/10/2015; £0,72 
28/10/2015; £0,72 
29/10/2015; £0,72 
30/10/2015; £0,71 
02/11/2015; £0,71 
03/11/2015; £0,71 
04/11/2015; £0,71 
05/11/2015; £0,72 
06/11/2015; £0,71 
09/11/2015; £0,71 
10/11/2015; £0,71 
11/11/2015; £0,71 
12/11/2015; £0,71 
13/11/2015; £0,71 
16/11/2015; £0,70 
17/11/2015; £0,70 
18/11/2015; £0,70 
19/11/2015; £0,70 
20/11/2015; £0,70 
23/11/2015; £0,70 
24/11/2015; £0,71 
25/11/2015; £0,70 
26/11/2015; £0,70 
27/11/2015; £0,70 
30/11/2015; £0,70 
01/12/2015; £0,70 
02/12/2015; £0,71 
03/12/2015; £0,72 
04/12/2015; £0,72 
07/12/2015; £0,72 
08/12/2015; £0,73 
09/12/2015; £0,73 
10/12/2015; £0,72 
11/12/2015; £0,72 
14/12/2015; £0,73 
15/12/2015; £0,73 
16/12/2015; £0,73 
17/12/2015; £0,73 
18/12/2015; £0,73 
21/12/2015; £0,73 
22/12/2015; £0,74 
23/12/2015; £0,73 
24/12/2015; £0,74 
25/12/2015; £0,73 
28/12/2015; £0,74 
29/12/2015; £0,74 
30/12/2015; £0,74 
31/12/2015; £0,74 
01/01/2016; £0,74 
04/01/2016; £0,74 
05/01/2016; £0,73 
06/01/2016; £0,74 
07/01/2016; £0,75 
08/01/2016; £0,75 
11/01/2016; £0,75 
12/01/2016; £0,75 
13/01/2016; £0,75 
14/01/2016; £0,75 
15/01/2016; £0,77 
18/01/2016; £0,76 
19/01/2016; £0,77 
20/01/2016; £0,77 
21/01/2016; £0,76 
22/01/2016; £0,76 
25/01/2016; £0,76 
26/01/2016; £0,76 
27/01/2016; £0,77 
28/01/2016; £0,76 
29/01/2016; £0,76 
01/02/2016; £0,75 
02/02/2016; £0,76 
03/02/2016; £0,76 
04/02/2016; £0,77 
05/02/2016; £0,77 
08/02/2016; £0,78 
09/02/2016; £0,78 
10/02/2016; £0,78 
11/02/2016; £0,78 
12/02/2016; £0,78 
15/02/2016; £0,77 
16/02/2016; £0,78 
17/02/2016; £0,78 
18/02/2016; £0,77 
19/02/2016; £0,77 
22/02/2016; £0,78 
23/02/2016; £0,79 
24/02/2016; £0,79 
25/02/2016; £0,79 
26/02/2016; £0,79 
29/02/2016; £0,78 
01/03/2016; £0,78 
02/03/2016; £0,77 
03/03/2016; £0,77 
04/03/2016; £0,77 
07/03/2016; £0,77 
08/03/2016; £0,77 
09/03/2016; £0,77 
10/03/2016; £0,78 
11/03/2016; £0,77 
14/03/2016; £0,78 
15/03/2016; £0,78 
16/03/2016; £0,79 
17/03/2016; £0,78 
18/03/2016; £0,78 
21/03/2016; £0,78 
22/03/2016; £0,79 
23/03/2016; £0,79 
24/03/2016; £0,79 
25/03/2016; £0,79 
28/03/2016; £0,79 
29/03/2016; £0,78 
30/03/2016; £0,79 
31/03/2016; £0,79 
01/04/2016; £0,80 
04/04/2016; £0,80 
05/04/2016; £0,80 
06/04/2016; £0,81 
07/04/2016; £0,81 
08/04/2016; £0,81 
11/04/2016; £0,80 
12/04/2016; £0,80 
13/04/2016; £0,79 
14/04/2016; £0,80 
15/04/2016; £0,79 
18/04/2016; £0,79 
19/04/2016; £0,79 
20/04/2016; £0,79 
21/04/2016; £0,79 
22/04/2016; £0,78 
25/04/2016; £0,78 
26/04/2016; £0,77 
27/04/2016; £0,78 
28/04/2016; £0,78 
29/04/2016; £0,78 
02/05/2016; £0,79 
03/05/2016; £0,79 
04/05/2016; £0,79 
05/05/2016; £0,79 
06/05/2016; £0,79 
09/05/2016; £0,79 
10/05/2016; £0,79 
11/05/2016; £0,79 
12/05/2016; £0,79 
13/05/2016; £0,79 
16/05/2016; £0,79 
17/05/2016; £0,78 
18/05/2016; £0,77 
19/05/2016; £0,77 
20/05/2016; £0,77 
23/05/2016; £0,77 
24/05/2016; £0,76 
25/05/2016; £0,76 
26/05/2016; £0,76 
27/05/2016; £0,76 
30/05/2016; £0,76 
31/05/2016; £0,77 
01/06/2016; £0,78 
02/06/2016; £0,77 
03/06/2016; £0,78 
06/06/2016; £0,79 
07/06/2016; £0,78 
08/06/2016; £0,79 
09/06/2016; £0,78 
10/06/2016; £0,79 
13/06/2016; £0,79 
14/06/2016; £0,79 
15/06/2016; £0,79 
16/06/2016; £0,79 
17/06/2016; £0,79 
20/06/2016; £0,77 
21/06/2016; £0,77 
22/06/2016; £0,77 
23/06/2016; £0,77 
24/06/2016; £0,81 
27/06/2016; £0,83 
28/06/2016; £0,83 
29/06/2016; £0,83 
30/06/2016; £0,83 
01/07/2016; £0,84 
04/07/2016; £0,84 
05/07/2016; £0,85 
06/07/2016; £0,86 
07/07/2016; £0,86 
08/07/2016; £0,85 
11/07/2016; £0,85 
12/07/2016; £0,83 
13/07/2016; £0,84 
14/07/2016; £0,83 
15/07/2016; £0,84 
18/07/2016; £0,84 
19/07/2016; £0,84 
20/07/2016; £0,83 
21/07/2016; £0,83 
22/07/2016; £0,84 
25/07/2016; £0,84 
26/07/2016; £0,84 
27/07/2016; £0,84 
28/07/2016; £0,84 
29/07/2016; £0,84 
01/08/2016; £0,85 
02/08/2016; £0,84 
03/08/2016; £0,84 
04/08/2016; £0,85 
05/08/2016; £0,85 
08/08/2016; £0,85 
09/08/2016; £0,85 
10/08/2016; £0,86 
11/08/2016; £0,86 
12/08/2016; £0,86 
15/08/2016; £0,87 
16/08/2016; £0,86 
17/08/2016; £0,87 
18/08/2016; £0,86 
19/08/2016; £0,87 
22/08/2016; £0,86 
23/08/2016; £0,86 
24/08/2016; £0,85 
25/08/2016; £0,85 
26/08/2016; £0,85 
29/08/2016; £0,85 
30/08/2016; £0,85 
31/08/2016; £0,85 
01/09/2016; £0,84 
02/09/2016; £0,84 
05/09/2016; £0,84 
06/09/2016; £0,84 
07/09/2016; £0,84 
08/09/2016; £0,85 
09/09/2016; £0,85 
12/09/2016; £0,84 
13/09/2016; £0,85 
14/09/2016; £0,85 
15/09/2016; £0,85 
16/09/2016; £0,86 
19/09/2016; £0,86 
20/09/2016; £0,86 
21/09/2016; £0,86 
22/09/2016; £0,86 
23/09/2016; £0,86 
26/09/2016; £0,87 
27/09/2016; £0,86 
28/09/2016; £0,86 
29/09/2016; £0,87 
30/09/2016; £0,87 
03/10/2016; £0,87 
04/10/2016; £0,88 
05/10/2016; £0,88 
06/10/2016; £0,88 
07/10/2016; £0,90 
10/10/2016; £0,90 
11/10/2016; £0,91 
12/10/2016; £0,90 
13/10/2016; £0,90 
14/10/2016; £0,90 
17/10/2016; £0,90 
18/10/2016; £0,89 
19/10/2016; £0,89 
20/10/2016; £0,89 
21/10/2016; £0,89 
24/10/2016; £0,89 
25/10/2016; £0,89 
26/10/2016; £0,89 
27/10/2016; £0,90 
28/10/2016; £0,90 
31/10/2016; £0,90 
01/11/2016; £0,90 
02/11/2016; £0,90 
03/11/2016; £0,89 
04/11/2016; £0,89 
07/11/2016; £0,89 
08/11/2016; £0,89 
09/11/2016; £0,88 
10/11/2016; £0,87 
11/11/2016; £0,86 
14/11/2016; £0,86 
15/11/2016; £0,86 
16/11/2016; £0,86 
17/11/2016; £0,86 
18/11/2016; £0,86 
21/11/2016; £0,85 
22/11/2016; £0,86 
23/11/2016; £0,85 
24/11/2016; £0,85 
25/11/2016; £0,85 
28/11/2016; £0,85 
29/11/2016; £0,85 
30/11/2016; £0,85 
01/12/2016; £0,85 
02/12/2016; £0,84 
05/12/2016; £0,85 
06/12/2016; £0,85 
07/12/2016; £0,85 
08/12/2016; £0,84 
09/12/2016; £0,84 
12/12/2016; £0,84 
13/12/2016; £0,84 
14/12/2016; £0,84 
15/12/2016; £0,84 
16/12/2016; £0,84 
19/12/2016; £0,84 
20/12/2016; £0,84 
21/12/2016; £0,84 
22/12/2016; £0,85 
23/12/2016; £0,85 
26/12/2016; £0,85 
27/12/2016; £0,85 
28/12/2016; £0,85 
29/12/2016; £0,86 
30/12/2016; £0,85 
02/01/2017; £0,85 
03/01/2017; £0,85 
04/01/2017; £0,85 
05/01/2017; £0,85 
06/01/2017; £0,86 
09/01/2017; £0,87 
10/01/2017; £0,87 
11/01/2017; £0,87 
12/01/2017; £0,87 
13/01/2017; £0,87 
16/01/2017; £0,88 
17/01/2017; £0,86 
18/01/2017; £0,87 
19/01/2017; £0,86 
20/01/2017; £0,86 
23/01/2017; £0,86 
24/01/2017; £0,86 
25/01/2017; £0,85 
26/01/2017; £0,85 
27/01/2017; £0,85 
30/01/2017; £0,86 
31/01/2017; £0,86 
01/02/2017; £0,85 
02/02/2017; £0,86 
03/02/2017; £0,86 
06/02/2017; £0,86 
07/02/2017; £0,85 
08/02/2017; £0,85 
09/02/2017; £0,85 
10/02/2017; £0,85 
13/02/2017; £0,85 
14/02/2017; £0,85 
15/02/2017; £0,85 
16/02/2017; £0,85 
17/02/2017; £0,85 
20/02/2017; £0,85 
21/02/2017; £0,84 
22/02/2017; £0,85 
23/02/2017; £0,84 
24/02/2017; £0,85 
27/02/2017; £0,85 
28/02/2017; £0,85 
01/03/2017; £0,86 
02/03/2017; £0,86 
03/03/2017; £0,86 
06/03/2017; £0,86 
07/03/2017; £0,87 
08/03/2017; £0,87 
09/03/2017; £0,87 
10/03/2017; £0,88 
13/03/2017; £0,87 
14/03/2017; £0,87 
15/03/2017; £0,87 
16/03/2017; £0,87 
17/03/2017; £0,87 
20/03/2017; £0,87 
21/03/2017; £0,87 
22/03/2017; £0,86 
23/03/2017; £0,86 
24/03/2017; £0,87 
27/03/2017; £0,86 
28/03/2017; £0,87 
29/03/2017; £0,87 
30/03/2017; £0,86 
31/03/2017; £0,85 
03/04/2017; £0,85 
04/04/2017; £0,86 
05/04/2017; £0,85 
06/04/2017; £0,85 
07/04/2017; £0,86 
10/04/2017; £0,85 
11/04/2017; £0,85 
12/04/2017; £0,85 
13/04/2017; £0,85 
14/04/2017; £0,85 
17/04/2017; £0,85 
18/04/2017; £0,84 
19/04/2017; £0,84 
20/04/2017; £0,84 
21/04/2017; £0,84 
24/04/2017; £0,85 
25/04/2017; £0,85 
26/04/2017; £0,85 
27/04/2017; £0,84 
28/04/2017; £0,84 
01/05/2017; £0,85 
02/05/2017; £0,84 
03/05/2017; £0,85 
04/05/2017; £0,85 
05/05/2017; £0,85 
08/05/2017; £0,84 
09/05/2017; £0,84 
10/05/2017; £0,84 
11/05/2017; £0,84 
12/05/2017; £0,85 
15/05/2017; £0,85 
16/05/2017; £0,86 
17/05/2017; £0,86 
18/05/2017; £0,86 
19/05/2017; £0,86 
22/05/2017; £0,86 
23/05/2017; £0,86 
24/05/2017; £0,86 
25/05/2017; £0,87 
26/05/2017; £0,87 
29/05/2017; £0,87 
