EUR/JPY;
Date;Clôture
23/11/2017; ¥131,77 
24/11/2017; ¥133,06 
27/11/2017; ¥132,15 
28/11/2017; ¥131,98 
29/11/2017; ¥132,59 
30/11/2017; ¥133,92 
01/12/2017; ¥133,28 
04/12/2017; ¥133,35 
05/12/2017; ¥133,11 
06/12/2017; ¥132,42 
07/12/2017; ¥133,09 
08/12/2017; ¥133,50 
11/12/2017; ¥133,61 
12/12/2017; ¥133,28 
13/12/2017; ¥133,07 
14/12/2017; ¥132,35 
15/12/2017; ¥132,29 
18/12/2017; ¥132,57 
19/12/2017; ¥133,63 
20/12/2017; ¥134,59 
21/12/2017; ¥134,54 
22/12/2017; ¥134,29 
25/12/2017; ¥134,41 
26/12/2017; ¥134,26 
27/12/2017; ¥134,72 
28/12/2017; ¥134,78 
29/12/2017; ¥135,16 
01/01/2018; ¥135,26 
02/01/2018; ¥135,38 
03/01/2018; ¥135,13 
04/01/2018; ¥136,04 
05/01/2018; ¥135,99 
08/01/2018; ¥135,30 
09/01/2018; ¥134,44 
10/01/2018; ¥133,09 
11/01/2018; ¥133,83 
12/01/2018; ¥135,29 
15/01/2018; ¥135,51 
16/01/2018; ¥135,39 
17/01/2018; ¥135,57 
18/01/2018; ¥135,94 
19/01/2018; ¥135,35 
22/01/2018; ¥135,98 
23/01/2018; ¥135,64 
24/01/2018; ¥135,49 
25/01/2018; ¥135,61 
26/01/2018; ¥134,99 
29/01/2018; ¥134,89 
30/01/2018; ¥134,86 
31/01/2018; ¥135,61 
01/02/2018; ¥136,83 
02/02/2018; ¥137,17 
05/02/2018; ¥134,91 
06/02/2018; ¥135,58 
07/02/2018; ¥134,06 
08/02/2018; ¥133,15 
09/02/2018; ¥133,07 
12/02/2018; ¥133,53 
13/02/2018; ¥133,16 
14/02/2018; ¥133,19 
15/02/2018; ¥132,69 
16/02/2018; ¥131,85 
19/02/2018; ¥132,25 
20/02/2018; ¥132,39 
21/02/2018; ¥132,35 
22/02/2018; ¥131,60 
23/02/2018; ¥131,39 
26/02/2018; ¥131,69 
27/02/2018; ¥131,26 
28/02/2018; ¥130,05 
01/03/2018; ¥130,31 
02/03/2018; ¥130,23 
05/03/2018; ¥130,99 
06/03/2018; ¥131,60 
07/03/2018; ¥131,61 
08/03/2018; ¥130,73 
09/03/2018; ¥131,38 
12/03/2018; ¥131,22 
13/03/2018; ¥132,01 
14/03/2018; ¥131,46 
15/03/2018; ¥130,83 
16/03/2018; ¥130,22 
19/03/2018; ¥130,83 
20/03/2018; ¥130,39 
21/03/2018; ¥130,81 
22/03/2018; ¥129,48 
23/03/2018; ¥129,34 
26/03/2018; ¥131,14 
27/03/2018; ¥130,62 
28/03/2018; ¥131,49 
29/03/2018; ¥130,89 
30/03/2018; ¥130,92 
02/04/2018; ¥130,23 
03/04/2018; ¥130,79 
04/04/2018; ¥131,08 
05/04/2018; ¥131,40 
06/04/2018; ¥131,30 
09/04/2018; ¥131,52 
10/04/2018; ¥132,42 
11/04/2018; ¥132,03 
12/04/2018; ¥132,27 
13/04/2018; ¥132,33 
16/04/2018; ¥132,58 
17/04/2018; ¥132,35 
18/04/2018; ¥132,66 
19/04/2018; ¥132,53 
20/04/2018; ¥132,26 
23/04/2018; ¥132,69 
24/04/2018; ¥133,09 
25/04/2018; ¥133,03 
26/04/2018; ¥132,25 
27/04/2018; ¥132,23 
30/04/2018; ¥132,04 
01/05/2018; ¥131,74 
02/05/2018; ¥131,24 
03/05/2018; ¥130,87 
04/05/2018; ¥130,47 
07/05/2018; ¥130,03 
08/05/2018; ¥129,44 
09/05/2018; ¥130,04 
10/05/2018; ¥130,30 
11/05/2018; ¥130,62 
14/05/2018; ¥130,76 
15/05/2018; ¥130,61 
16/05/2018; ¥130,33 
17/05/2018; ¥130,61 
18/05/2018; ¥130,40 
21/05/2018; ¥130,92 
22/05/2018; ¥130,59 
23/05/2018; ¥128,73 
24/05/2018; ¥128,02 
25/05/2018; ¥127,43 
28/05/2018; ¥127,16 
29/05/2018; ¥125,48 
30/05/2018; ¥126,99 
31/05/2018; ¥127,20 
01/06/2018; ¥127,71 
04/06/2018; ¥128,44 
05/06/2018; ¥128,63 
06/06/2018; ¥129,70 
07/06/2018; ¥129,40 
08/06/2018; ¥128,87 
11/06/2018; ¥129,63 
12/06/2018; ¥129,60 
13/06/2018; ¥130,06 
14/06/2018; ¥127,95 
15/06/2018; ¥128,44 
18/06/2018; ¥128,47 
19/06/2018; ¥127,51 
20/06/2018; ¥127,67 
21/06/2018; ¥127,59 
22/06/2018; ¥128,16 
25/06/2018; ¥128,44 
26/06/2018; ¥128,16 
27/06/2018; ¥127,36 
28/06/2018; ¥127,79 
